date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2023-05-02,1514,33391594,1733828571,49.1,53.4,49.0,53.4,4.8,17830
2023-05-03,1514,36126429,1827998983,52.8,52.9,48.55,48.6,-4.8,21966
2023-05-04,1514,16888408,822875950,48.0,49.85,47.55,48.95,0.35,11074
2023-05-05,1514,7847260,384139132,48.8,49.5,48.25,49.3,0.35,4809
2023-05-08,1514,27052680,1385732129,49.95,52.2,49.7,51.4,2.1,16264
2023-05-09,1514,17594292,880859318,51.3,51.8,48.8,49.65,-1.75,10733
2023-05-10,1514,11005810,553659523,49.65,51.3,49.65,50.3,0.65,7200
2023-05-11,1514,16467121,807830786,50.3,51.3,47.7,47.8,-2.5,11351
2023-05-12,1514,12591277,601924519,47.6,48.9,46.6,48.35,0.55,7835
2023-05-15,1514,9861960,468870412,48.0,48.5,46.75,46.85,-1.5,6113
2023-05-16,1514,5062190,240930545,47.35,48.0,47.1,47.75,0.9,3365
2023-05-17,1514,3989797,192433717,48.2,48.5,47.65,48.3,0.55,2715
2023-05-18,1514,22650671,1139908600,49.0,51.5,48.7,50.8,2.5,13879
2023-05-19,1514,18322721,926763756,51.5,51.6,49.35,49.85,-0.95,12264
2023-05-22,1514,39490235,2093792634,49.9,54.8,49.25,53.1,3.25,21522
2023-05-23,1514,23554581,1236888281,54.2,54.3,51.3,52.4,-0.7,14293
2023-05-24,1514,9185740,475625198,52.0,52.4,51.1,52.1,-0.3,5542
2023-05-25,1514,10409127,539221963,51.7,52.7,51.2,51.2,-0.9,6657
2023-05-26,1514,8498867,428307220,51.2,51.4,49.8,50.3,-0.9,5683
2023-05-29,1514,8001373,412992417,50.6,52.3,50.6,51.6,1.3,4878
2023-05-30,1514,5014432,257908448,52.0,52.3,50.6,51.1,-0.5,3338
2023-05-31,1514,12121600,632756916,51.9,52.9,51.2,52.5,1.4,7580
2023-06-01,1514,10871996,574187907,52.5,53.2,51.8,53.1,0.6,6411
2023-06-02,1514,24302969,1394157522,54.5,58.4,54.4,58.4,5.3,11931
2023-06-05,1514,60799968,3697736277,59.5,64.0,59.0,59.7,1.3,34028
2023-06-06,1514,23692869,1384570278,60.4,61.1,57.0,57.3,-2.4,14484
2023-06-07,1514,14890261,861871964,57.9,58.9,56.8,58.2,0.9,9432
2023-06-08,1514,13370470,775797242,58.5,59.4,57.0,57.6,-0.6,8336
2023-06-09,1514,8264012,470413463,57.9,58.0,56.2,57.1,-0.5,5451
2023-06-12,1514,8307864,464038477,57.0,57.0,55.1,55.6,-1.5,5422
2023-06-13,1514,4830051,269702075,56.6,56.6,55.1,55.7,0.1,3656
2023-06-14,1514,5158004,287715354,55.8,56.9,55.0,55.0,-0.7,3819
2023-06-15,1514,18319693,1055374825,55.1,59.2,54.6,58.2,3.2,11717
2023-06-16,1514,34747569,2103248841,58.1,62.6,58.0,60.2,2.0,21651
2023-06-19,1514,12608316,752941568,60.8,61.4,58.6,59.5,-0.7,8514
2023-06-20,1514,16412193,991128702,59.1,61.7,59.0,61.1,1.6,9750
2023-06-21,1514,17518432,1069999521,61.5,62.0,59.6,61.4,0.3,10640
2023-06-26,1514,17200114,1062644759,62.2,62.9,61.0,61.1,-0.3,10401
2023-06-27,1514,22480941,1355730038,61.5,63.4,57.8,58.6,-2.5,14524
2023-06-28,1514,5802898,343392977,59.2,60.0,58.5,58.5,-0.1,3993
2023-06-29,1514,8177084,490588645,59.1,60.8,58.7,60.8,2.3,5442
2023-06-30,1514,17786706,1107105844,61.2,63.3,60.6,62.4,1.6,11124
2023-07-03,1514,19863637,1259445517,63.6,64.9,62.2,63.2,0.8,14189
2023-07-04,1514,17813383,1127767325,63.6,65.4,61.5,62.5,-0.7,11133
2023-07-05,1514,7796133,485391864,63.0,63.4,61.3,61.4,-1.1,5228
2023-07-06,1514,6857236,419066078,61.1,62.1,60.3,60.8,-0.6,4513
2023-07-07,1514,13380768,810227089,62.4,62.5,59.1,60.7,-0.1,7946
2023-07-10,1514,12545681,780150159,61.8,63.0,60.7,62.4,1.7,7700
2023-07-11,1514,9689579,604945959,63.5,63.6,61.5,61.6,-0.8,6228
2023-07-12,1514,14679430,910003630,62.0,63.2,60.4,61.2,-0.4,9552
2023-07-13,1514,8853110,537049474,61.6,61.8,60.1,60.4,-0.8,6056
2023-07-14,1514,16011045,995828980,60.6,62.8,60.6,62.7,2.3,9414
2023-07-17,1514,47155069,3164162584,63.3,68.9,63.2,68.9,6.2,24634
2023-07-18,1514,51491037,3499449408,74.8,74.8,62.1,62.4,-6.5,31319
2023-07-19,1514,20699194,1224017166,61.6,61.7,57.8,58.5,-3.9,14022
2023-07-20,1514,21829466,1340763618,58.5,63.4,57.3,63.4,4.9,14267
2023-07-21,1514,22308546,1427250925,62.2,65.9,62.1,64.6,1.2,14141
2023-07-24,1514,11758643,749091061,65.2,65.9,62.4,63.0,-1.6,8149
2023-07-25,1514,11223498,723486166,64.2,65.4,63.2,64.5,1.5,7126
2023-07-26,1514,8081086,512970139,64.6,64.9,62.5,62.8,-1.7,7091
2023-07-27,1514,4728576,299621903,63.4,64.0,62.5,63.4,0.6,3328
2023-07-28,1514,4644432,289978423,63.3,63.3,61.6,62.9,-0.5,3370
2023-07-31,1514,6769460,428743568,63.5,64.8,62.0,62.1,-0.8,4657
2023-08-01,1514,6031091,369929515,62.5,63.0,60.6,61.4,-0.7,4292
2023-08-02,1514,6657186,403819799,61.4,62.4,59.5,60.2,-1.2,4652
2023-08-04,1514,3330351,201873466,59.5,61.5,59.1,61.3,1.1,2697
2023-08-07,1514,2986824,181909143,61.2,61.6,60.1,61.2,-0.1,2374
2023-08-08,1514,2555240,155240126,61.2,61.6,60.3,60.5,-0.7,2248
2023-08-09,1514,8679181,503355762,59.3,59.3,55.8,58.0,-2.5,5930
2023-08-10,1514,6433749,360105447,58.0,58.2,55.0,55.3,-2.7,4711
2023-08-11,1514,5071940,285745243,56.1,57.5,55.3,55.7,0.4,3499
2023-08-14,1514,3668084,200370175,55.7,55.9,53.9,54.2,-1.5,2628
2023-08-15,1514,2975493,165066124,54.7,56.2,54.6,55.9,1.7,2109
2023-08-16,1514,2964682,163510093,55.3,56.0,53.9,55.8,-0.1,2065
2023-08-17,1514,3726096,210871828,55.5,57.4,55.0,57.3,1.5,2640
2023-08-18,1514,4474640,255370501,57.8,58.2,55.9,56.0,-1.3,3086
2023-08-21,1514,3020940,171162434,56.6,57.4,55.5,56.6,0.6,2071
2023-08-22,1514,2406195,135128765,56.8,57.2,55.6,55.7,-0.9,1684
2023-08-23,1514,2709566,149659633,56.7,56.7,54.6,54.7,-1.0,2025
2023-08-24,1514,3620149,198618154,55.1,55.6,54.3,54.5,-0.2,2249
2023-08-25,1514,2297787,124858783,54.5,55.0,54.0,54.1,-0.4,1648
2023-08-28,1514,2325105,119931486,52.7,52.7,51.0,51.3,0.0,1637
2023-08-29,1514,1534972,78280688,51.8,51.8,50.6,50.8,-0.5,1255
2023-08-30,1514,1651086,83703578,51.1,51.4,50.3,50.8,0.0,1239
2023-08-31,1514,1450741,73194758,50.9,50.9,50.1,50.6,-0.2,1297
2023-09-01,1514,4062675,203275687,50.8,51.2,49.05,49.2,-1.4,3021
2023-09-04,1514,4572039,222454100,49.1,49.15,48.15,49.1,-0.1,2960
2023-09-05,1514,2634369,131076831,49.5,50.7,49.3,49.5,0.4,1934
2023-09-06,1514,1123459,55418779,49.6,49.9,49.0,49.0,-0.5,1019
2023-09-07,1514,1243743,60416815,49.0,49.0,48.35,48.5,-0.5,1065
2023-09-08,1514,1494920,73023880,49.2,49.4,48.3,48.5,0.0,1224
2023-09-11,1514,2340785,112052031,48.8,49.1,47.4,47.5,-1.0,1963
2023-09-12,1514,1132896,54059881,47.8,48.25,47.05,47.65,0.15,1030
2023-09-13,1514,959422,46001647,47.8,48.45,47.3,47.85,0.2,883
2023-09-14,1514,1120404,54286173,48.0,48.7,48.0,48.7,0.85,1219
2023-09-15,1514,2927454,144594667,48.8,50.0,48.8,50.0,1.3,2087
2023-09-18,1514,2891751,144071228,50.5,50.8,49.25,49.9,-0.1,2263
2023-09-19,1514,14233489,752509431,50.8,54.2,50.2,53.8,3.9,9129
2023-09-20,1514,5024387,263792759,53.0,53.2,51.8,52.6,-1.2,3898
2023-09-21,1514,4120182,208649461,51.6,51.8,50.0,50.5,-2.1,3086
2023-09-22,1514,4173316,214705121,50.4,52.3,49.4,52.0,1.5,2859
2023-09-25,1514,1689240,88259955,52.1,52.9,51.8,52.1,0.1,1577
2023-09-26,1514,2334347,121592239,52.5,52.7,51.5,51.5,-0.6,1770
2023-09-27,1514,2778439,144918861,51.6,52.9,51.5,52.3,0.8,1992
2023-09-28,1514,2914056,152225202,52.4,52.9,51.6,51.8,-0.5,2134
